No.,COMPANY,PRODUCT NAME,TYPE OF PRODUCT,GUARANTEED ANALYSIS,TARGET CROP/S,REGISTRATION NO.,EXPIRY DATE
599,"Dole Philippines, Inc.",Magnesium Sulphate Heptahydrate,Inorganic Fertilizer,"Mg=9.8%, S=13%",All Crops,1-1IF-9487,"June 20, 2027"
600,"Dole Philippines, Inc.",Ammonium Sulphate,Inorganic Fertilizer,N=21%,All Crops,1-1IF-6022,"December 20, 2026"
601,"Dole Philippines, Inc.",K35,Inorganic Fertilizer,K2O=35% w/v,Pineapple,1-1IF-0606-TPA,"April 27, 2027"
602,"Dole Philippines, Inc.",Muriate of Potash,Inorganic Fertilizer,K2O=60%,All Crops,1-1IF-4528,"November 28, 2025"
603,"Dole Philippines, Inc.",Monoammonium Phosphate,Inorganic Fertilizer,"N=12%, P2O5=61%",All Crops,1-1IF-8861,"October 06, 2025"
604,"Dole Philippines, Inc.",Monopotassium Phosphate,Soil Conditioner,"P2O5=52%, K2O=34%",All Crops,1-4IF-1331,"August 30, 2025"
605,"Dole Philippines, Inc.",Agrimag WP,Inorganic Fertilizer,"Cao=46%, MgO=5%",Pineapple,1-1IF-0473-TPA,"August 09, 2026"
606,"Dole Philippines, Inc.",Protecsol Yellow,Inorganic Fertilizer,"SiO2=65%, 100% passing through mesh #40",Pineapple,1-1IF-0148-TPA,"November 12, 2026"
607,"Dole Philippines, Inc.",Protecsol Blue,Inorganic Fertilizer,"SiO2=65%, 100% passing through mesh #60",Pineapple,1-1IF-0150-TPA,"November 12, 2026"
608,"Dole Philippines, Inc.",PurForm 90D 11-0-44,Controlled Release Fertilizer,"N=11%, K2O=44%",All Crops,1-3IF-7427,"April 29, 2028"
609,"Dole Philippines, Inc.",PurForm 180D 0-0-56,Controlled Release Fertilizer,K2O=56%,All Crops,1-3IF-7428,"April 29, 2028"
610,"Dole Philippines, Inc.",PurForm 180D 19-6-8,Controlled Release Fertilizer,"N=19%, P2O5=6%, K2O=8%",All Crops,1-3IF-7433,"April 29, 2028"
611,"Dole Philippines, Inc.",PurForm 90D 12-0-45,Controlled Release Fertilizer,"N=12%, K2O=45%",All Crops,1-3IF-7429,"April 29, 2028"
612,"Dole Philippines, Inc.",PurForm 180D 42-0-0,Controlled Release Fertilizer,N=42%,All Crops,1-3IF-7430,"April 29, 2028"
613,"Dole Philippines, Inc.",PurForm 90D 14-0-0-17Ca,Controlled Release Fertilizer,"N=14%, Ca=17%",All Crops,1-3IF-7431,"April 29, 2028"
614,"Dole Philippines, Inc.",PurForm 180D 10-47-0,Controlled Release Fertilizer,"N=10%, P2O5=47%",All Crops,1-3IF-7432,"April 29, 2028"
615,"Dole Philippines, Inc.",Gibberellic Acid 90%,Plant Growth Regulator,Gibberellic Acid=90%,Pineapple,1-5IF-1163,"November 19, 2027"
616,"Dole Philippines, Inc.",PurForm 90D 10-48-0,Controlled Release Fertilizer,"N=10%, P2O5=48%",All Crops,1-3IF-7435,"July 07, 2028"
617,"Dole Philippines, Inc.",PurForm 90D 44-0-0,Controlled Release Fertilizer,N=44%,All Crops,1-3IF-7436,"July 07, 2028"
618,"Dole Philippines, Inc.",PurForm 90D 0-0-58,Controlled Release Fertilizer,K2O=58%,All Crops,1-3IF-7437,"July 07, 2028"
619,"Dole Philippines, Inc.",Mono Ammonium Phosphate (MAP),Inorganic Fertilizer,"N=11.50%, P2O5=60.80%",All Crops,1-1IF-9812,"July 15, 2028"
620,"Dole Philippines, Inc.",PurForm 180D 19-6-12,Controlled Release Fertilizer,"N=19%, P2O5=6%, K2O=12%",All Crops,1-3IF-7438,"July 29, 2028"
621,Don Fertilizer Manufacturing,King Harvest,Inorganic Fertilizer,Ca=25%,All Crops,1-1LF-9147,"July 21, 2026"
622,Don Fertilizer Manufacturing,Top Grain Granular Bulk Blended 6-3-7,Inorganic Fertilizer,"N=6%, P2O5=3%, K2O=7%",All Crops,1-1LF-9161,"July 26, 2026"
623,Donato C. Cruz Trading Corporation,Cambiar N,Inorganic Fertilizer,N = 24%,Rice,1-1IF-7385,"November 29, 2025"
624,Donato C. Cruz Trading Corporation,Primera Planters Premium 0-0-60,Inorganic Fertilizer,K2O=60%,All Crops,1-1IF-0753-TPA,"March 10, 2027"
625,Donato C. Cruz Trading Corporation,Primera Planters Premium 18-46-0,Inorganic Fertilizer,"N=18%, P2O5=46%",All Crops,1-1IF-0882-TPA,"January 17, 2027"
626,Donato C. Cruz Trading Corporation,Primera Nutri-Mag,Raw Material,MgO=60%,Raw Material,1-6IF-1570,"May 15, 2027"
627,Donato C. Cruz Trading Corporation,Primera 14-14-14,Inorganic Fertilizer,"N=14%, P2O5=14%, K2O=14%",All Crops,1-1IF-0724-TPA,"November 19, 2025"
628,Donato C. Cruz Trading Corporation,Primera 46-0-0,Inorganic Fertilizer,N=46%,All Crops,1-1IF-0725-TPA,"November 12, 2025"
629,Donato C. Cruz Trading Corporation,Primera 16-20-0,Inorganic Fertilizer,"N=16%, P2O5=20%, S=10%",All Crops,1-1LF-0448-TPA,"December 01, 2025"
630,Donato C. Cruz Trading Corporation,Primera 14-14-14,Inorganic Fertilizer,"N=14%, P2O5=14%, K2O=14%, S=8%, Cl=10%",All Crops,1-1LF-0664-TPA,"November 16, 2025"
631,Donato C. Cruz Trading Corporation,Primera Planters Premium Urea (46-0-0),Inorganic Fertilizer,N=46%,All Crops,1-1IF-0585-TPA,"May 24, 2026"
632,Donato C. Cruz Trading Corporation,Primera Planters Premium Ammonium Phosphate (16-20-0),Inorganic Fertilizer,"N=16%, P2O5=20%",All Crops,1-1IF-0352-TPA,"October 14, 2025"
633,Donato C. Cruz Trading Corporation,Primera Planters Premium Fertilizer Urea Prilled (46-0-0),Inorganic Fertilizer,N=46%,All Crops,1-1IF-0767-TPA,"May 12, 2027"
634,Donato C. Cruz Trading Corporation,Primera Nutri-Cal (Granulated Calcium),Soil Conditioner,"Ca=38% w/w, CaCO3=95%","Rice, Corn, Vegetables, Sugarcane and Banana",1-4IF-1357,"March 07, 2027"
635,Donato C. Cruz Trading Corporation,Primera TimfoliUp Foliar,Inorganic Fertilizer,MgO=36%,Rice and Banana,1-1IF-0905-TPA,"July 31, 2026"
636,Donato C. Cruz Trading Corporation,Primera Premium Fertilizer 21-0-0 Ammonium Sulphate,Inorganic Fertilizer,N=21%,All Crops,1-1IF-0908-TPA,"September 17, 2025"
637,Donato C. Cruz Trading Corporation,Primera Planters Premium 16-20-0,Inorganic Fertilizer,"N=16%, P2O5=20%",All Crops,1-1IF-0914-TPA,"September 25, 2026"
638,Donato C. Cruz Trading Corporation,Primera Vantage,Biostimulant,"N=0.13%, OM=0.39%, Fe=3%, Mn=0.004%, Cu=0.001%, Zn=0.002%, Alginic Acid=0.02%",All Crops,1-7IF-0449-TPA,"March 22, 2027"
639,Donato C. Cruz Trading Corporation,Primera Planters Premium 16-20-0,Inorganic Fertilizer,"N=16%, P2O5=20%",All Crops,1-1IF-0532-TPA,"September 25, 2026"
640,Donato C. Cruz Trading Corporation,Primera Xcell,Plant Growth Regulator,Auxin=10.7mg/L,All Crops,1-5IF-1188,"February 19, 2028"
641,Donato C. Cruz Trading Corporation,PrimeraPlanters Premium 21-0-0,Inorganic Fertilizer,"N=21%, S=24%",All Crops,1-1IF-0600-TPA,"June 29, 2027"
642,Donato C. Cruz Trading Corporation,Cambiar LSA Combi,Inorganic Fertilizer,"Cu=0.5%, Mn=2%, Zn=1%",Fruiting and Leafy Vegetables,1-1IP-8112,"November 25, 2026"
643,Donato C. Cruz Trading Corporation,Cambiar LSA Ca,Inorganic Fertilizer,CaO=15%,Fruiting and Leafy Vegetables,1-1IP-8106,"November 20, 2026"
644,Donato C. Cruz Trading Corporation,Primera Solvar,Inorganic Fertilizer,"K2O=6.9% w/v, CaO=4.7% w/v, MgO=1.8% w/v, B=0.3% w/v",All Crops,1-1IF-0744-TPA,"July 23, 2027"
645,Donato C. Cruz Trading Corporation,Cambiar K,Inorganic Fertilizer,K2O=48%,All Crops,1-1IF-7307,"September 19, 2027"
646,Donato C. Cruz Trading Corporation,Primera Planters Premium Prilled Urea,Inorganic Fertilizer,N=46%,All Crops,1-1IF-0950-TPA,"November 08, 2025"
647,Donato C. Cruz Trading Corporation,Primera Premium Fertilizer 21-0-0 Ammonium Sulphate,Inorganic Fertilizer,N=21%,All Crops,1-1IF-0828-TPA,"March 21, 2028"
648,Donato C. Cruz Trading Corporation,Primera Premium Fertilizer 0-0-60,Inorganic Fertilizer,K2O=60%,All Crops,1-1IF-0966-TPA,"December 13, 2027"
649,Donato C. Cruz Trading Corporation,Primera Planters Premium 14-14-14,Inorganic Fertilizer,"N=14%, P2O5=14%, K2O=14%",All Crops,1-1IF-0974-TPA,"August 02, 2027"
650,DQB Green Agricultural Products Trading,DQB Green Agri,Inorganic Fertilizer,"N=14%, P2O5=14%, K2O=14%",All Crops,1-1LF-0955-TPA,"October 19, 2026"
651,DQB Green Agricultural Products Trading,DQB Green Plant Booster Foliar,Inorganic Fertilizer,"N=8%, P2O5=8%, K2O=8%",All Crops,1-1LF-0961-TPA,"October 19, 2026"
652,DTD Agricultural Organiques,DTD Soil Conditioner,Soil Conditioner,"N=1.29%, P2O5=2.77%, K2O=0.93%, Ca=1.44%, Mg=0.49%, S=0.4%",All Crops,1-4LF-1321,"October 20, 2027"
653,Dumangan Prime Inc.,"Dumangan Prime- Rice, Corn, Sugarcane",Inorganic Fertilizer,"Zn=3%, Mn=3%, B=1%, Fe=3%","Rice, Corn, Sugarcane",1-1IF-9518,"July 11, 2027"
654,Eagle Stance Enterprises,Cropmate,Raw Material,Bacillus subtilis=1x108 cfu/g,Raw Material,1-6IF-1565,"April 04, 2027"
655,Eagle Stance Enterprises,Rubitrol,Biofertilizer,Bacillus subtilis=2.0x10? cfu/g,All Crops,1-7IF-0086,"May 17, 2027"
656,Eagle Stance Enterprises,Xplorer Glory,Biofertilizer,Vesicular Arbuscular Mycorrhizae (VAM)= 500 spores/g,"Rice, Corn, Fruiting and Leafy Vegetables",1-7IF-0016,"January 28, 2028"
657,Eagle Stance Enterprises,Mycovir,Raw Material,Mycorrhiza= 100-200 spores per gram,All Crops,1-6IF-1588,"May 02, 2028"
658,Eagle Stance Enterprises,Cuprinomat,Biostimulant,"Humic Acid=12%, Cu=0.10%, Zn=0.10%",All Crops,1-7IF-116,"May 23, 2028"
659,Eagle Stance Enterprises,Silikamat,Biostimulant,"Humic Acid=11%, SiO2=0.15%",All Crops,1-7IF-117,"May 23, 2028"
660,Eagle Stance Enterprises,Incryl Ultra,Biostimulant,Humic Acid=24.77%,All Crops,1-7IF-118,"May 23, 2028"
661,Eagle Stance Enterprises,Movi'k,Biofertilizer,Bacillus megaterium=1x10^9 CFU/gram,All Crops,1-7IF-119,"May 23, 2028"
662,Eagle Stance Enterprises,Zoomgro,Biostimulant,Humic Acid=12.40%,All Crops,1-7IF-124,"June 26, 2028"
663,"East-West Seed Company, Inc.",MDS Zinc V2,Raw Material,Zn=41.5%,Raw Material,1-6IF-1564,"April 01, 2027"
664,Eco-Goldencrop Agricultural Products Wholesaling,Ecobloom Foliar Yield Booster,Inorganic Fertilizer,"N=9%, P2O5=9%, K2O=12%","Rice, Corn, Mango and Vegetables",1-1LF-0770-TPA,"March 06, 2026"
665,Edsel Agri and Chemical Corp.,Rubimax Foliar,Inorganic Fertilizer,"N=2.3% w/w, P2O5=0.82% w/w, K2O=2.39% w/w",Leafy Vegetables,1-1LF-9663,"December 23, 2027"
666,Elevareagro Corporation,Biotamax,Biofertilizer,Bacillus subtilis=1.9x106 cfu/g,Fruiting and Leafy Vegetables,1-7IF-0052,"December 23, 2026"
667,"Elite Agrochemicals, Inc.",Elite Bloomer 25 SC,Plant Growth Regulator,Paclobutrazol=25%,"Mango, Durian, Calamansi and Cocoa",1-5IF-0834-TPA,"December 31, 2027"
668,"Elite Agrochemicals, Inc.",Grow Robust 19-19-19 Foliar,Inorganic Fertilizer,"N=19%, P2O5=19%, K2O=19%, Fe=0.10%, Mn=0.05%, B=0.05%, Zn=0.05% Cu=0.011%, Mo=0.007%",All Crops,1-1IF-0951-TPA,"July 15, 2027"
669,"Elite Agrochemicals, Inc.",Grow Robust 15-15-30 Foliar,Inorganic Fertilizer,"N=15%, P2O5=15%, K2O=30%, Fe=0.10%, Mn=0.05%, B=0.05%, Zn=0.05% Cu=0.011%, Mo=0.007%",All Crops,1-1IF-0952-TPA,"July 15, 2027"
670,"ELR Family Trading Company, Inc.",BPA,Fortified Organic Fertilizer,"N= 2.36% w/w, P2O5= 3.06% w/w, K2O= 3.69% w/w",All Crops,1-2LF-2865,"December 11, 2026"
671,"ELR Family Trading Company, Inc.",Plantmate,Soil Conditioner,"N=1%, P2O5=1%, K2O=1%",All Crops,1-4LF-046,"November 19, 2027"
672,"EM Research Philippines, Inc.",EM.1 Microbial Inoculant,Biofertilizer,Lactic Acid Bacteria=1.77x106 cfu/ml,"Rice, Potato, Onion, Leafy and Fruiting Vegetables",1-6LF-060,"July 08, 2028"
673,"EM Research Philippines, Inc.",EMRPI-EMAS,Biofertilizer,Lactic Acid Bacteria=1x106 cfu/ml,Rice,1-7LF-123,07/07/2028
674,Emerge Agriventures,Opta Grow Agricultural Micronutrients,Inorganic Fertilizer,"B=0.20%, Cu=1.8%, Fe=1.5%, Mg=3.0%, Mn=4%, Mo=0.04%, S=12.50%, Zn=2.9%",All Crops,1-1LF-0334-TPA,"April 07, 2026"
675,Emerge Agriventures,Supra-Green Plant Foliar,Inorganic Fertilizer,"N=6.7%, P2O5=2%, K2O=2%",Rice,1-1LF-0779-TPA,"May 29, 2026"
676,EMP Feed Mix Manufacturing,Eco Tierra,Decomposer,Bacillus spp. = 2.2x107 cfu/g,Raw Material,1-7LF-0068,"October 03, 2026"
677,Enasia Agro Ventures Inc.,Xtratonic,Soil Conditioner,"N= 2%, P2O5= 2%, K2O= 3%, B=0.5%, Zn=1%","Cabbage, Eggplant, Pepper, Ginger, Soybean, Cauliflower. Radish, Squash and other veggies, Tomato and fruit plants",1-4IF-0745-TPA,"January 12, 2026"
678,Enasia Agro Ventures Inc.,Omega Bonifacio 15-15-15,Inorganic Fertilizer,"N= 15%, P2O5= 15%, K2O= 15%","Grain Crop, Potato, Legume, Leafy vegetable, Melon and fruit, Fruit tree, Garden Plant",1-1IF-9203,"August 31, 2026"
679,Enasia Agro Ventures Inc.,Omega Dagohoy 17-6-8,Inorganic Fertilizer,"N= 17%, P2O5= 6%, K2O= 8%","Grain Crop, Potato, Legume, Leafy vegetable, Melon and fruit, Fruit tree, Garden Plant",1-1IF-9204,"August 31, 2026"
680,Enasia Agro Ventures Inc.,Omega Mac Arthur 17-5-26,Inorganic Fertilizer,"N= 17%, P2O5= 5%, K2O= 26%","Grain Crop, Potato, Legume, Leafy vegetable, Melon and fruit, Fruit tree, Garden Plant",1-1IF-9205,"August 31, 2026"
681,Enasia Agro Ventures Inc.,Omega Rizal 19-19-19,Inorganic Fertilizer,"N= 19%, P2O5= 19%, K2O= 19%","Grain Crop, Potato, Legume, Leafy vegetable, Melon and fruit, Fruit tree, Garden Plant",1-1IF-9217,"September 07, 2026"
682,Enasia Agro Ventures Inc.,Omega Mabini 17-17-17,Inorganic Fertilizer,"N= 17%, P2O5= 17%, K2O= 17%","Grain Crop, Potato, Legume, Leafy vegetable, Melon and fruit, Fruit tree, Garden Plant",1-1IF-9218,"September 07, 2026"
683,Enasia Agro Ventures Inc.,Agrownica+,Inorganic Fertilizer,"N=4.8%, P2O5=5%, K2O=2.8%, B=0.2%",Pechay,1-1IF-7993,"August 12, 2026"
684,Enasia Agro Ventures Inc.,Biotonic,Inorganic Fertilizer,"N=3%, P2O5=2%, K2O=2%, B=0.2%",All Crops,1-1IF-0746-TPA,"March 01, 2027"
685,Enasia Agro Ventures Inc.,Omega Mighty,Inorganic Fertilizer,"N=10%, P2O5=18%, K2O=24%",All Crops,1-1IF-9527,"July 30, 2027"
686,Enasia Import Export Corporation,Xtratonic,Soil Conditioner,"N=2%, P2O5=2%, K2O=3%, B=0.5%, Zn=1%","Fruiting and Leafy Vegetables, Root Crops, Legumes",1-4IF-1335,"January 12, 2026"
687,Enasia Import Export Corporation,Omega Grande,Inorganic Fertilizer,"N=21%, P2O5=9%, K2O=15%",All Crops,1-1IF-9102,"May 29, 2026"
688,Enasia Import Export Corporation,Biotonic,Inorganic Fertilizer,"N=3%, P2O5=2%, K2O=2%, B=0.2%",All Crops,1-1IF-8205,"March 01, 2027"
689,Enasia Import Export Corporation,Phantom,Plant Growth Regulator,Gibberellic Acid=10%,All Crops,1-5IF-1164,"April 21, 2028"
690,Encam Agri Marketing,Omega Green,Inorganic Fertilizer,"N=1.2%, P2O5=2.1%, K2O=1.9%, MgO=0.07%, Cu=1.9ppm, Zn=45.8ppm",All Crops,1-1LF-7015,"February 06, 2027"
691,"Envireau Pacific, Inc.",Folimac 14-14-14,Inorganic Fertilizer,"N=14%, P2O5=14%, K2O=14%",All Crops,1-1IF-7612,"June 27, 2028"
692,"Envireau Pacific, Inc.",Lasa,Inorganic Fertilizer,Zn=20%,All Crops,1-1IF-8413,"August 13, 2027"
693,"Envireau Pacific, Inc.",Dinamico,Inorganic Fertilizer,"N=7.5%, P2O5=27%, B= 8.5%, Zn= 1.4%",All Crops,1-1IF-8158,"January 14, 2027"
694,"Envireau Pacific, Inc.",Foliflo Ca Foliar,Inorganic Fertilizer,CaO=35%,All Crops,1-1IF-7316,"September 21, 2027"
695,"Envireau Pacific, Inc.",Foliflo BCa Foliar,Inorganic Fertilizer,"B=7%, CaO=12%",All Crops,1-1IF-7348,"October 24, 2027"
696,"Envireau Pacific, Inc.",Folistim Humi Zn,Inorganic Foliar Fertilizer,"Zn= 10.7%, S=13.3.%",Tomato and Rice,1-1IF-7323,"September 27, 2025"
697,"Envireau Pacific, Inc.",Sanskar 15-15-15,Inorganic Fertilizer,"N=15%, P2O5=15%,  K2O=15%",All Crops,1-1IF-8074,"October 05, 2026"
698,"Envireau Pacific, Inc.",Folimac 14-14-14 + TE,Inorganic Fertilizer,"N=14%, P2O5=14%, K2O=14%, MgO=8%, SO3=17.5%, Zn=1%",All Crops,1-1IF-9782,"May 29, 2028"
699,"Envireau Pacific, Inc.",Folistim Humi N Foliar,Inorganic Fertilizer,N=25%,All Crops,1-1IF-7669,"July 30, 2028"
700,"Envireau Pacific, Inc.",Folistim Humi N+,Inorganic Fertilizer,"N=25%, Humic Acid=1.2%",All Crops,1-1IF-9818,"July 15, 2028"
701,Enviro Safe Solutions Philippines Inc.,Inc 101,Inorganic Fertilizer,Cu= 5.2%,All Crops,1-1IF-5031,"October 06, 2026"
702,Enviro Scope Synergy Inc.,NEB-88 Plus,Inorganic Fertilizer,"Organic Matter=37.4%, Organic Carbon=16.8%, pH=3.5",Rice,1-1IF-9076,"April 27, 2026"
703,Enviro Scope Synergy Inc.,Aztobac EN,Biofertilizer,Azotobacter=1x108 cfu/g,Rice,1-7IF-0095,"October 11, 2028"
704,Enviro Scope Synergy Inc.,EN-Bio,Biofertilizer,"Azospirillum brasilense=5x107 cfu/ml, Bacillus megaterium=5x107 cfu/ml, Pseudomonas putida=5x107 cfu/ml",Rice,1-7IP-0097,"November 22, 2025"
705,Everland Agri Corporation,Zinc Sulphate heptahydrate,Inorganic Fertilizer,Zn=21%,All Crops,1-1IF-9126,"June 22, 2026"
706,Everland Agri Corporation,Agro Planters Powder Monoammonium Phosphate,Inorganic Fertilizer,"N= 10%, P2O5= 50%","Rice and Corn, Vegetable, Fruit Tree, Pineapple",1-1IF-7800,"December 06, 2025"
707,Everland Agri Corporation,Agro Planters Granular Magnesium Sulphate Heptaydrate,Inorganic Fertilizer,Mg=16% (MgSO4=99.59% ),All Crops,1-1IF-9257,"October 06, 2026"
708,Everland Agri Corporation,Agro Planters Urea,Inorganic Fertilizer,N=46%,"Rice and Corn, Banana, Vegetable, Pineapple, Fruit Tree",1-1IF-9319,"November 20, 2026"
709,Everland Agri Corporation,Agro Planters Urea,Inorganic Fertilizer,N=46%,All Crops,1-1IF-9314,"November 16, 2026"
710,Everland Agri Corporation,Agro Planters 25-0-0 Ammonium Chloride,Inorganic Fertilizer,N= 25%,All Crops,1-1IF-9337,"January 03, 2027"
711,Everland Agri Corporation,Agro Planters 14-14-14 Compelete Fertilizer,Inorganic Fertilizer,"N=14%, P2O5=14%, K2O=14%",All Crops,1-1IF-9375,"February 05, 2027"
712,Everland Agri Corporation,Agro Planters Urea 46-0-0,Inorganic Fertilizer,N= 46%,All Crops,1-1IF-9379,"February 08, 2027"
713,Everland Agri Corporation,Agro Planters 16-20-0 Ammonium Phosphate,Inorganic Fertilizer,"N=16%, P2O5=20%",All Crops,1-1IF-9387,"February 16, 2027"
714,Everland Agri Corporation,Agro Planters Urea,Inorganic Fertilizer,N=46%,All Crops,1-1IF-8230,"March 18, 2027"
715,Everland Agri Corporation,Agro Planters Ammonium Sulphate 21-0-0,Inorganic Fertilizer,N=21%,All Crops,1-1IF-7045,"March 01, 2027"
716,Everland Agri Corporation,Agro Planters Urea,Inorganic Fertilizer,N=46%,All Crops,1-1IF-7011,"February 06, 2027"
717,Everland Agri Corporation,Agro Planters Muriate of Potash,Inorganic Fertilizer,K2O=60%,All Crops,1-1IF-7196,"June 06, 2027"
718,Everland Agri Corporation,Agro Planters 16-20-0 Ammonium Phosphate,Inorganic Fertilizer,"N=16%, P2O5=20%",All Crops,1-1IF-9489,"June 20, 2027"
719,Everland Agri Corporation,Agro Planters Low Biuret Prilled Urea,Inorganic Fertilizer,N=46%,All Crops,1-1IF-8299,"June 17, 2027"
720,Everland Agri Corporation,Agro Planters 14-14-14 Complete,Inorganic Fertilizer,"N=14%, P2O5=14%, K2O=14%",All Crops,1-1IF-9492,"June 21, 2027"
721,Everland Agri Corporation,Agro Planters 14-14-14 Complete,Inorganic Fertilizer,"N=14%, P2O5=14%, K2O=14%",All Crops,1-1IF-9493,"June 21, 2027"
722,Everland Agri Corporation,Agro Planters 18-46-0 Di-Ammonium Phosphate,Inorganic Fertilizer,"N=18%, P2O5=46%",All Crops,1-1IF-9494,"June 26, 2027"
723,Everland Agri Corporation,Agro Planters 21-0-0+24s Ammonium Sulphate,Inorganic Fertilizer,"N=21%, S=24%",All Crops,1-1IF-9495,"June 26, 2027"
724,Everland Agri Corporation,Agro Planters Prilled Urea,Inorganic Fertilizer,N=46%,All Crops,1-1IF-8331,"July 21, 2027"
725,Everland Agri Corporation,Agro Planters MAP 10-50-0,Inorganic Fertilizer,"N=10%, P2O5=50%",All Crops,1-1IF-8338,"July 21, 2027"
726,Everland Agri Corporation,Agro Planters Ammonium Sulphate,Inorganic Fertilizer,N=21%,All Crops,1-1IF-8334,"July 21, 2027"
727,Everland Agri Corporation,Agro Planters Diammonium Phosphate 18-46-0,Inorganic Fertilizer,"N=18%, P2O5=46%",All Crops,1-1IF-8366,"July 27, 2027"
728,Everland Agri Corporation,Agro Planters Diammonium Phosphate 15-45-0,Inorganic Fertilizer,"N=15%, P2O5=45%",All Crops,1-1IF-8337,"July 21, 2027"
729,Everland Agri Corporation,Agro Planters Ammonium Sulphate,Inorganic Fertilizer,N=21%,All Crops,1-1IF-8333,"July 21, 2027"
730,Everland Agri Corporation,Agro Planters Granular Ammonium Chloride,Inorganic Fertilizer,N=25%,All Crops,1-1IF-8340,"July 21, 2027"
731,Everland Agri Corporation,Agro Planters Prilled Urea,Inorganic Fertilizer,N=46%,All Crops,1-1IF-5080,"November 27, 2026"
732,Everland Agri Corporation,Agro Planters Prilled Urea,Inorganic Fertilizer,N=46%,All Crops,1-1IF-8398,"August 06, 2027"
733,Everland Agri Corporation,Agro Planters Ammonium Sulphate,Inorganic Fertilizer,N=21%,All Crops,1-1IF-8397,"August 06, 2027"
734,Everland Agri Corporation,Agro Planters Ammonium Sulphate,Inorganic Fertilizer,N=21%,All Crops,1-1IF-8488,"October 11, 2027"
735,Everland Agri Corporation,Agro Planters Prilled Urea,Inorganic Fertilizer,N=46%,All Crops,1-1IF-8487,"October 11, 2027"
736,Everland Agri Corporation,Agro Planters Prilled Urea,Inorganic Fertilizer,N=46%,All Crops,1-1IF-8486,"October 11, 2027"
737,Everland Agri Corporation,Agro Planters 16-20-0 Ammonium Phosphate,Inorganic Fertilizer,"N=16%, P2O5=20%",All Crops,1-1IF-9553,"September 04, 2027"
738,Everland Agri Corporation,Agro Planters 18-46-0 Di-Ammonium Phosphate,Inorganic Fertilizer,"N=18%, P2O5=46%",All Crops,1-1IF-0873-TPA,"June 28, 2027"
739,Everland Agri Corporation,Agro Planters Granular 21-0-0+24S,Inorganic Fertilizer,"N=21%, S=24%",All Crops,1-1IF-0911-TPA,"August 10, 2027"
740,Everland Agri Corporation,Micro Zinc Sulphate Heptahydrate,Inorganic Fertilizer,Zn=21%,All Crops,1-1IF-9681,"January 20, 2028"
741,Everland Agri Corporation,Micro Zinc Sulphate Mono,Inorganic Fertilizer,Zn=35%,All Crops,1-1IF-9682,"January 20, 2028"
742,Everland Agri Corporation,Ever Ready 250 SC,Plant Growth Regulator,Paclobutrazol=25% w/v,Mango,1-5IF-0929-TPA,"November 20, 2027"
743,Everland Agri Corporation,Agro Planters Powder Mono-Ammonium Phosphate 10-50-0,Inorganic Fertilizer,"N=10%, P2O5=50%",All Crops,1-1IF-8626,"February 18, 2028"
744,Everland Agri Corporation,Agro Planters Muriate of Potash,Inorganic Fertilizer,K2O=60%,All Crops,1-1IF-8915,"December 12, 2025"
745,Everland Agri Corporation,Agro Planter's Muriate of Potash,Inorganic Fertilizer,K2O=60%,All Crops,1-1IF-3721,"August 07, 2025"
746,Everland Agri Corporation,Agro Planter's Ammonium Sulphate,Inorganic Fertilizer,N=21%,All Crops,1-1IF-8815,"August 16, 2025"
747,Everland Agri Corporation,Agro Planter's Di- Ammonium Phosphate,Inorganic Fertilizer,"N=16.5%, P2O5= 47%",All Crops,1-1IF-8816,"August 16, 2025"
748,Everland Agri Corporation,Agro Planter's Sulphate of Potash,Inorganic Fertilizer,K2O= 50%,All Crops,1-1IF-8818,"August 16, 2025"
749,Everland Agri Corporation,Agro Planters Muriate of Potash,Inorganic Fertilizer,K2O=60%,All Crops,1-1IF-8916,"December 12, 2025"
750,Everland Agri Corporation,Agro Planters Sulphate of Potash,Inorganic Fertilizer,"K2O=50%, S= 18%",All Crops,1-1IF-8917,"December 12, 2025"
751,Everland Agri Corporation,Agro Planter's Rock Phosphate,Soil Conditioner,P2O5=30%,All Crops,1-4IF-1287,"September 19, 2025"
752,Everland Agri Corporation,Agro Planters Mono Ammonium Phosphate Powder,Inorganic Fertilizer,"N=10%, P2O5=58%",All Crops,1-1IF-9066,"April 24, 2026"
753,Everland Agri Corporation,Agro Planters Monoammonium Phosphate Tech Grade,Inorganic Fertilizer,"N=12%, P2O5=61%",All Crops,1-1IF-9067,"April 24, 2026"
754,Everland Agri Corporation,Agro  Planters Mono Ammonium Phosphate Powder,Inorganic Fertilizer,"N=10%, P2O5=50%",All Crops,1-1IF-9097,"May 26, 2026"
755,Everland Agri Corporation,Agro Planters Sulphate of Potash,Inorganic Fertilizer,K2O=52%,All Crops,1-1IF-9142,"July 06, 2026"
756,Everland Agri Corporation,Agro Planters Urea,Inorganic Fertilizer,N=46%,All Crops,1-1IF-7012,"February 06, 2027"
757,Everland Agri Corporation,Agro Planters 14-14-14 Complete,Inorganic Fertilizer,"N=14%, P2O5=14%, K2O=14%",All Crops,1-1IF-9441,"April 22, 2027"
758,Everland Agri Corporation,Agro K Granular Muriate of Potash,Inorganic Fertilizer,K2O=60%,All Crops,1-1IF-9820,"July 17, 2028"
