recommendationID,crop_name,growth_stage,soil_type,nitrogen_level,nitrogen_rate,phosphorus_level,phosphorus_rate,potassium_level,potassium_rate,unit_of_measure
335,PALM DATE (African Oil),New,N/A,M,0.02,M,0.015,M,0.15,kg/tree
336,PALM DATE (African Oil),New,N/A,H,0.01,H,0.01,H,0.09,kg/tree
337,PALM DATE (African Oil),Young,N/A,L,0.2,L,0.2,L,0.06,kg/tree
338,PALM DATE (African Oil),Young,N/A,M,0.1,M,0.25,M,0.45,kg/tree
339,PALM DATE (African Oil),Young,N/A,H,0.05,H,0.04,H,0.3,kg/tree
340,PALM DATE (African Oil),Bearing,N/A,L,0.3,L,0.25,L,0.09,kg/tree
341,PALM DATE (African Oil),Bearing,N/A,M,0.2,M,0.18,M,0.6,kg/tree
342,PALM DATE (African Oil),Bearing,N/A,H,0.1,H,0.08,H,0.45,kg/tree
343,RUBBER,1 year,N/A,L,0.04,L,0.08,L,0.135,kg/tree
344,RUBBER,1 year,N/A,M,0.03,M,0.05,M,0.09,kg/tree
345,RUBBER,1 year,N/A,H,0.02,H,0.02,H,0.06,kg/tree
346,RUBBER,2-6 years,N/A,L,0.06,L,0.13,L,0.225,kg/tree
347,RUBBER,2-6 years,N/A,M,0.05,M,0.075,M,0.15,kg/tree
348,RUBBER,2-6 years,N/A,H,0.03,H,0.03,H,0.1,kg/tree
349,RUBBER,7 and up,N/A,L,0.05,L,0.11,L,0.18,kg/tree
350,RUBBER,7 and up,N/A,M,0.04,M,0.068,M,0.12,kg/tree
351,RUBBER,7 and up,N/A,H,0.02,H,0.025,H,0.08,kg/tree
352,SOYBEAN,N/A,N/A,L,30,L,40,L,40,kg/ha
353,SOYBEAN,N/A,N/A,M,25,M,25,M,30,kg/ha
354,SOYBEAN,N/A,N/A,H,20,H,10,H,20,kg/ha
355,SUGARCANE,N/A,N/A,L,150,L,60,L,120,kg/ha
356,SUGARCANE,N/A,N/A,M,100,M,35,M,90,kg/ha
357,SUGARCANE,N/A,N/A,H,75,H,20,H,60,kg/ha
358,TOBACCO,Wrapper,N/A,L,60,L,40,L,90,kg/ha
359,TOBACCO,Wrapper,N/A,M,40,M,25,M,60,kg/ha
360,TOBACCO,Wrapper,N/A,H,20,H,10,H,45,kg/ha
361,TOBACCO,Filler,N/A,L,40,L,40,L,90,kg/ha
362,TOBACCO,Filler,N/A,M,30,M,25,M,60,kg/ha
363,TOBACCO,Filler,N/A,H,10,H,10,H,45,kg/ha
364,TOBACCO,Virginia,N/A,L,20,L,40,L,60,kg/ha
365,TOBACCO,Virginia,N/A,M,10,M,25,M,45,kg/ha
366,TOBACCO,Virginia,N/A,H,7,H,10,H,30,kg/ha
367,PINEAPPLE,Planted,N/A,L,300,L,80,L,180,kg/ha
368,PINEAPPLE,Planted,N/A,M,200,M,50,M,120,kg/ha
369,PINEAPPLE,Planted,N/A,H,100,H,20,H,60,kg/ha
370,PINEAPPLE,Ratoon,N/A,L,150,L,40,L,120,kg/ha
371,PINEAPPLE,Ratoon,N/A,M,100,M,25,M,75,kg/ha
372,PINEAPPLE,Ratoon,N/A,H,80,H,10,H,45,kg/ha
373,Narra/Fukien Tea Pine Trees,New,N/A,L,0.012,L,0.004,L,0.015,kg/tree
374,Narra/Fukien Tea Pine Trees,New,N/A,M,0.012,M,0.004,M,0.015,kg/tree
375,Narra/Fukien Tea Pine Trees,New,N/A,H,0.01,H,0.002,H,0.009,kg/tree
376,Narra/Fukien Tea Pine Trees,1-3 years,N/A,L,0.025,L,0.007,L,0.027,kg/tree
377,Narra/Fukien Tea Pine Trees,1-3 years,N/A,M,0.018,M,0.005,M,0.021,kg/tree
378,Narra/Fukien Tea Pine Trees,1-3 years,N/A,H,0.015,H,0.003,H,0.015,kg/tree
379,Narra/Fukien Tea Pine Trees,4-6 years,N/A,L,0.04,L,0.01,L,0.039,kg/tree
380,Narra/Fukien Tea Pine Trees,4-6 years,N/A,M,0.025,M,0.006,M,0.027,kg/tree
381,Narra/Fukien Tea Pine Trees,4-6 years,N/A,H,0.018,H,0.004,H,0.021,kg/tree
382,Narra/Fukien Tea Pine Trees,Over 6 years,N/A,L,0.05,L,0.012,L,0.048,kg/tree
383,Narra/Fukien Tea Pine Trees,Over 6 years,N/A,M,0.04,M,0.009,M,0.039,kg/tree
384,Narra/Fukien Tea Pine Trees,Over 6 years,N/A,H,0.03,H,0.005,H,0.027,kg/tree
385,PULP TREES,New,N/A,L,0.025,L,0.003,L,0.015,kg/tree
386,PULP TREES,New,N/A,M,0.025,M,0.003,M,0.015,kg/tree
387,PULP TREES,New,N/A,H,0.02,H,0.001,H,0.009,kg/tree
388,PULP TREES,1-3 years,N/A,L,0.1,L,0.006,L,0.027,kg/tree
389,PULP TREES,1-3 years,N/A,M,0.08,M,0.004,M,0.021,kg/tree
390,PULP TREES,1-3 years,N/A,H,0.06,H,0.002,H,0.018,kg/tree
391,PULP TREES,4-6 years,N/A,L,0.16,L,0.008,L,0.042,kg/tree
392,PULP TREES,4-6 years,N/A,M,0.1,M,0.005,M,0.027,kg/tree
393,PULP TREES,4-6 years,N/A,H,0.08,H,0.042,H,0.021,kg/tree
394,PULP TREES,Over 6 years,N/A,L,0.2,L,0.01,L,0.015,kg/tree
395,PULP TREES,Over 6 years,N/A,M,0.16,M,0.007,M,0.042,kg/tree
396,PULP TREES,Over 6 years,N/A,H,0.1,H,0.004,H,0.027,kg/tree
397,IPIL-IPIL/KAKAWATE,N/A,N/A,L,0.088,L,0.014,L,0.022,kg/tree
398,IPIL-IPIL/KAKAWATE,N/A,N/A,M,0.032,M,0.023,M,0.008,kg/tree
399,IPIL-IPIL/KAKAWATE,N/A,N/A,H,0.06,H,0.01,H,0.015,kg/tree
400,HERBS/BAMBOO/LAGUNDI/SAMBONG,Soft Med,N/A,L,0.02,L,0.002,L,0.008,kg/tree
401,HERBS/BAMBOO/LAGUNDI/SAMBONG,Soft Med,N/A,M,0.02,M,0.002,M,0.006,kg/tree
402,HERBS/BAMBOO/LAGUNDI/SAMBONG,Soft Med,N/A,H,0.015,H,0.001,H,0.003,kg/tree
403,HERBS/BAMBOO/LAGUNDI/SAMBONG,1-3 years,N/A,L,0.04,L,0.004,L,0.005,kg/tree
404,HERBS/BAMBOO/LAGUNDI/SAMBONG,1-3 years,N/A,M,0.03,M,0.002,M,0.009,kg/tree
405,HERBS/BAMBOO/LAGUNDI/SAMBONG,1-3 years,N/A,H,0.02,H,0.001,H,0.006,kg/tree
406,HERBS/BAMBOO/LAGUNDI/SAMBONG,4-6 years,N/A,L,0.08,L,0.005,L,0.018,kg/tree
407,HERBS/BAMBOO/LAGUNDI/SAMBONG,4-6 years,N/A,M,0.04,M,0.004,M,0.015,kg/tree
408,HERBS/BAMBOO/LAGUNDI/SAMBONG,4-6 years,N/A,H,0.03,H,0.002,H,0.009,kg/tree
409,HERBS/BAMBOO/LAGUNDI/SAMBONG,Over 6 years,N/A,L,0.1,L,0.006,L,0.024,kg/tree
410,HERBS/BAMBOO/LAGUNDI/SAMBONG,Over 6 years,N/A,M,0.08,M,0.005,M,0.018,kg/tree
411,HERBS/BAMBOO/LAGUNDI/SAMBONG,Over 6 years,N/A,H,0.04,H,0.003,H,0.015,kg/tree
412,KULITIS (SPINACH),N/A,N/A,L,120,L,60,L,75,kg/ha
413,KULITIS (SPINACH),N/A,N/A,M,80,M,40,M,60,kg/ha
414,KULITIS (SPINACH),N/A,N/A,H,40,H,20,H,30,kg/ha
415,MAGUEY (SISAL),N/A,N/A,L,50,L,60,L,60,kg/ha
416,MAGUEY (SISAL),N/A,N/A,M,30,M,40,M,45,kg/ha
417,MAGUEY (SISAL),N/A,N/A,H,20,H,20,H,30,kg/ha
418,MALUNGAY,N/A,N/A,L,0.04,L,0.003,L,0.02,kg/tree
419,MALUNGAY,N/A,N/A,M,0.03,M,0.002,M,0.01,kg/tree
420,MALUNGAY,N/A,N/A,H,0.02,H,0.001,H,0.01,kg/tree
421,ARROW ROOT,N/A,N/A,L,60,L,60,L,90,kg/ha
422,ARROW ROOT,N/A,N/A,M,50,M,35,M,60,kg/ha
423,ARROW ROOT,N/A,N/A,H,40,H,20,H,30,kg/ha
424,CAMOTE,N/A,N/A,L,60,L,60,L,90,kg/ha
425,CAMOTE,N/A,N/A,M,50,M,35,M,60,kg/ha
426,CAMOTE,N/A,N/A,H,40,H,20,H,30,kg/ha
427,CASSAVA,N/A,N/A,L,60,L,60,L,90,kg/ha
428,CASSAVA,N/A,N/A,M,50,M,35,M,60,kg/ha
429,CASSAVA,N/A,N/A,H,40,H,20,H,30,kg/ha
430,GABI,N/A,N/A,L,60,L,50,L,90,kg/ha
431,GABI,N/A,N/A,M,50,M,35,M,60,kg/ha
432,GABI,N/A,N/A,H,40,H,20,H,30,kg/ha
433,TUGUI,N/A,N/A,L,60,L,40,L,90,kg/ha
434,TUGUI,N/A,N/A,M,50,M,50,M,60,kg/ha
435,TUGUI,N/A,N/A,H,40,H,30,H,30,kg/ha
436,YAM (Ubi),N/A,N/A,L,120,L,60,L,120,kg/ha
437,YAM (Ubi),N/A,N/A,M,80,M,35,M,80,kg/ha
438,YAM (Ubi),N/A,N/A,H,60,H,20,H,60,kg/ha
439,Flowering SHRUBS,N/A,N/A,L,0.031,L,0.04,L,0.06,kg/ha
440,Flowering SHRUBS,N/A,N/A,M,0.031,M,0.04,M,0.06,kg/ha
441,Flowering SHRUBS,N/A,N/A,H,0.031,H,0.04,H,0.06,kg/ha
442,Non Flowering SHRUBS,N/A,N/A,L,0.03,L,0.02,L,0.03,kg/ha
443,Non Flowering SHRUBS,N/A,N/A,M,0.03,M,0.02,M,0.03,kg/ha
444,Non Flowering SHRUBS,N/A,N/A,H,0.03,H,0.02,H,0.03,kg/ha
445,ALGAE,fishpond,N/A,L,45,L,60,L,60,kg/ha
446,ALGAE,fishpond,N/A,M,40,M,35,M,45,kg/ha
447,ALGAE,fishpond,N/A,H,30,H,20,H,30,kg/ha
